,"Min_cell","Max_cell","Mean_cell","1 pour sélectionner/ 0 pour non"
"CD1E",0,8,0.039968619100321,
"CD1B",0,5,0.020705790056178,
"FCRL5",0,36,0.044479623429204,
"LMNA",0,31,1.58812569171068,
"IL6R",0,14,0.177274064526975,
"MKI67",0,40,0.120214062565669,
"S100A9",0,85,0.270085877194211,
"CD2",0,26,0.062019304857035,
"NRAS",0,14,0.3939423656155,
"VCAM1",0,48,0.277861055462938,
"CD40LG",0,8,0.035737801375716,
"JUN",0,193,4.90049172749051,
"AURKA",0,22,0.069626371163195,
"COL5A1",0,143,2.61876409688853,
"PTEN",0,8,0.34147742396436,
"MMRN2",0,43,0.210742354408036,
"VEGFA",0,203,3.7280088538967,
"CD40",0,14,0.441027724464493,
"MMP9",0,257,0.119135344139197,
"TREM2",0,25,0.123534273826368,
"MAFB",0,29,0.288564183746375,
"HDAC1",0,32,2.3157562936916,
"CXCR3",0,11,0.030232134601645,
"DES",0,4,0.034673092279458,
"DKK1",0,9,0.067174738375758,
"BAK1",0,9,0.406690856110169,
"CD28",0,5,0.027472296549502,
"C1QC",0,122,0.821927403650832,
"HLA-DMA",0,20,1.05117608327146,
"NRP1",0,37,1.22543814180244,
"TAP2",0,30,0.487832896709208,
"TGFBR1",0,13,0.454714840083496,
"PLA2G2A",0,91,0.091270786343705,
"COL4A1",0,240,1.6050489626091,
"NCR3",0,5,0.023899917344952,
"HLA-C",0,34,0.70727504518009,
"BMI1",0,9,0.426542077023298,
"MTOR",0,4,0.08489654109637,
"THBD",0,29,0.095389529426598,
"SPRY2",0,24,1.47802636555946,
"MYC",0,75,2.82334234600244,
"CA9",0,27,0.566495285860383,
"KITLG",0,8,0.083355514772839,
"CYBB",0,76,0.378546111710399,
"PCNA",0,21,0.509547358540788,
"CD83",0,41,0.242669617965565,
"TNFRSF4",0,9,0.062355528782169,
"TNFRSF18",0,15,0.352754934786568,
"LDHA",0,28,0.669603956234852,
"TEK",0,9,0.04057102029952,
"IFNB1",0,3,0.027206119275438,
"DNMT3A",0,9,0.493310544822852,
"IRF4",0,60,0.035317521469299,
"CD274",0,7,0.048920581107017,
"IFNGR2",0,16,1.0224429470027,
"MSR1",0,10,0.035177428167159,
"IFNAR2",0,11,0.328812989450974,
"TIGIT",0,14,0.026099382188538,
"GPX3",0,89,0.512755495159776,
"CD8B",0,4,0.073408890320954,
"IL4I1",0,73,0.661156330115857,
"AKT2",0,8,0.462041719785377,
"STAT4",0,7,0.081338171222034,
"CD79B",0,10,0.024110057298161,
"POU2AF1",0,37,0.081114021938611,
"CCL8",0,6,0.034434933665822,
"CCL7",0,2,0.027486305879716,
"CLCA1",0,5,0.042182093274121,
"MMRN1",0,87,0.126196046567014,
"SPP1",0,801,2.81321360025777,
"HLA-DRA",0,148,4.73044647735392,
"LGALS9",0,25,0.869405023745815,
"CXCL1",0,51,0.35169022569031,
"CXCL12",0,12,0.150796430422662,
"MYBL2",0,26,0.093638363149858,
"ITGA4",0,14,0.090402207870442,
"NFE2L2",0,42,1.70947451002368,
"TEAD4",0,9,0.409842955408302,
"PDCD1LG2",0,6,0.055126714391785,
"MET",0,37,0.89742368417366,
"ITGB2",0,72,0.603395861643855,
"SHARPIN",0,14,0.792816015466301,
"CX3CR1",0,23,0.112046623050952,
"CCR2",0,12,0.037671088945238,
"PDGFA",0,16,0.209845757274345,
"ROS1",0,5,0.038819854022779,
"CEACAM1",0,8,0.057158067272804,
"TSC1",0,8,0.306299995797201,
"CHEK2",0,6,0.175747047533657,
"RELA",0,23,1.47641529258486,
"ICOSLG",0,8,0.118042616382511,
"AKT1",0,25,2.22999117412197,
"CD207",0,101,0.073436908981382,
"PDK1",0,61,0.367212563567336,
"FGFR3",0,38,0.451100432888304,
"HLA-B",0,69,1.07092923887309,
"CMKLR1",0,10,0.113363500091061,
"PRKCA",0,12,0.347165212031213,
"PPARD",0,14,0.584693405808268,
"HLA-DPA1",0,11,0.145332791639232,
"SIGLEC1",0,9,0.11714601924882,
"AMOTL2",0,23,1.55556800829352,
"FGFR1",0,36,1.13776775332371,
"TRAT1",0,7,0.02210672307757,
"SELP",0,31,0.190723021532341,
"CTLA4",0,7,0.044703772712627,
"IKZF4",0,3,0.076280803014808,
"TAPBP",0,40,2.09393255908435,
"MLH1",0,10,0.54923579103683,
"ICOS",0,3,0.016825205586921,
"NEDD4",0,6,0.129810453762206,
"FCGR3A",0,76,0.315784312352026,
"CHEK1",0,6,0.065829842675222,
"CD1C",0,25,0.055378882335636,
"IL5RA",0,10,0.098849833989437,
"TNF",0,21,0.069542315181911,
"EOMES",0,14,0.023353553466609,
"IKZF2",0,19,0.434317255292025,
"FN1",0,874,5.93746234992505,
"PLOD2",0,12,0.23272299351368,
"ZAP70",0,14,0.107843823986775,
"CSF3R",0,23,0.153388156512237,
"DIABLO",0,12,0.604012272173267,
"IL12RB2",0,3,0.018870567798154,
"WWTR1",0,44,1.60849525784172,
"SRPRB",0,8,0.255278015158095,
"IL12A",0,17,0.168210027878567,
"IL13",0,3,0.018212129278099,
"HDAC3",0,8,0.446295232624928,
"EPHA4",0,6,0.106316806993458,
"ARAF",0,5,0.238550874882672,
"VSIR",0,10,0.174906487720822,
"TMEM59",0,6,0.149003236155279,
"COL6A3",0,23,0.278113223406789,
"WNT5A",0,57,1.43891231560219,
"BTLA",0,4,0.040052675081604,
"SRC",0,9,0.440369285944439,
"NOS3",0,34,0.116641683361118,
"BUB1",0,6,0.099984589736765,
"CD80",0,6,0.027570361861,
"MUC4",0,69,0.142390832294308,
"TGFB2",0,21,0.5052324848349,
"ENG",0,71,1.63937182163321,
"MUC1",0,101,3.33531331867023,
"CASP8",0,4,0.097056639722055,
"PIK3CG",0,23,0.127470895616481,
"BRAF",0,9,0.565542651405836,
"HLA-DPB1",0,49,0.815188915817935,
"CSF2RA",0,13,0.090374189210014,
"PDGFC",0,15,0.165198021882574,
"LEF1",0,21,0.30286770989479,
"TGFBI",0,60,1.2869811294322,
"CXCL2",0,10,0.068449587425225,
"RGMB",0,17,0.337232596909542,
"ANGPT1",0,5,0.067749120914529,
"IDO1",0,198,0.404435353945728,
"ITK",0,5,0.034911250893095,
"IKBKB",0,54,0.76759922108124,
"PAX5",0,8,0.03646628654684,
"PTK2",0,23,1.78796878721228,
"TEAD1",0,21,1.4016895252238,
"FLI1",0,5,0.06475112424875,
"CD3E",0,16,0.062551659405164,
"MS4A1",0,8,0.042182093274121,
"CD3G",0,4,0.028901248231322,
"TCF7L2",0,16,1.29101581653381,
"SMOC2",0,26,0.19761561199759,
"ETS1",0,37,0.532998977318894,
"CD22",0,23,0.357546125719729,
"CD19",0,5,0.045908575111024,
"MSH6",0,15,0.726257687619955,
"CD27",0,27,0.041089365517435,
"ERBB2",0,38,2.00159706364439,
"CD163",0,26,0.164595620683375,
"MSH2",0,12,0.455737521189112,
"PRTN3",0,2,0.020971967330242,
"ITGAM",0,23,0.155209369440047,
"CCR3",0,3,0.057326179235371,
"ROR1",0,7,0.107787786665919,
"ERBB3",0,22,0.572491279191942,
"SELPLG",0,4,0.071083341505443,
"PGF",0,19,0.070901220212662,
"NDUFA4L2",0,111,1.88533363219904,
"TCL1A",0,6,0.039408245891764,
"IGF1R",0,35,1.30023395581457,
"PECAM1",0,88,0.373432706182317,
"MAP2K1",0,6,0.229598912875975,
"MRC1",0,41,0.265588882195542,
"MMP12",0,61,0.042182093274121,
"MYH11",0,4,0.027444277889074,
"ICAM2",0,11,0.096005939956011,
"CD226",0,6,0.027234137935865,
"CD68",0,3,0.022274835040137,
"AURKB",0,15,0.064078676398481,
"SMAD2",0,14,0.776579201748364,
"SMARCA4",0,9,0.398845631190373,
"STAT5A",0,12,0.544374553452599,
"CCR10",0,3,0.056639722054889,
"DNMT1",0,5,0.17493450638125,
"NCR1",0,7,0.035121390846304,
"IRF3",0,13,0.925428335271291,
"CCL5",0,27,0.115590983595074,
"TRAC",0,26,0.069514296521483,
"CCL3",0,12,0.044451604768776,
"CCL4",0,20,0.049046665078943,
"CDH5",0,35,1.47217046553004,
"TNFRSF9",0,13,0.056779815357028,
"FLT1",0,24,0.056863871338311,
"CD160",0,3,0.021756489822222,
"EPHB4",0,41,2.13949090094003,
"CCL17",0,39,0.031969291548171,
"CIITA",0,32,1.00798531822194,
"CLDN5",0,31,0.056219442148471,
"CD177",0,5,0.06571776803351,
"AXIN2",0,19,0.546041663748056,
"PDPN",0,12,0.168252055869209,
"TRBC1",0,13,0.027738473823567,
"SERPINA1",0,190,6.11919138146005,
"FGFR2",0,20,0.280326697580589,
"ATM",0,4,0.129418192516216,
"PRF1",0,18,0.038707779381068,
"IL10",0,20,0.063882545775487,
"NOTCH1",0,33,0.87999607738754,
"Blank-1",0,3,0.027290175256721,
"Blank-2",0,3,0.030260153262073,
"Blank-3",0,2,0.017385578795478,
"Blank-4",0,2,0.030218125271431,
"Blank-5",0,3,0.025370897017414,
"Blank-6",0,5,0.082346842997436,
"Blank-7",0,3,0.040388899006739,
"Blank-10",0,16,0.032165422171166,
"Blank-11",0,7,0.038161415502725,
"Blank-12",0,3,0.011529678766058,
"Blank-15",0,3,0.022653086955913,
"Blank-16",0,2,0.016348888359648,
"Blank-18",0,3,0.045992631092308,
"Blank-19",0,17,0.071377537439935,
"Blank-21",0,2,0.017875905352965,
"Blank-22",0,2,0.018324203919811,
"Blank-23",0,3,0.026253484820891,
"Blank-25",0,4,0.034196775052185,
"Blank-26",0,3,0.030568358526779,
"Blank-27",0,5,0.028522996315546,
"Blank-28",0,2,0.023297516145753,
"Blank-30",0,3,0.018562362533447,
"Blank-33",0,4,0.064947254871745,
"Blank-35",0,3,0.020803855367675,
"Blank-36",0,3,0.020075370196551,
"Blank-37",0,17,0.101875849315644,
"Blank-38",0,3,0.019753155601631,
"Blank-39",0,3,0.022863226909122,
"Blank-40",0,3,0.021546349869013,
"Blank-41",0,2,0.013925274232639,
"Blank-42",0,3,0.015872571132374,
"Blank-43",0,5,0.024306187921156,
"Blank-44",0,3,0.027290175256721,
"Blank-45",0,3,0.015186113951892,
"Blank-47",0,5,0.038371555455934,
"Blank-48",0,5,0.072988610414536,
"Blank-49",0,3,0.040528992308878,
"Blank-50",0,5,0.035793838696572,
"PGLYRP1",0,3,0.022779170927838,
"CTSG",0,125,0.05421610792788,
"TSC2",0,3,0.034224793712613,
"VTN",0,5,0.025847214244687,
"GZMK",0,6,0.035219456157801,
"KLF2",0,16,0.087278127232737,
"GNLY",0,165,0.114806461103095,
"CXCL5",0,40,0.021826536473291,
"TBX10",0,3,0.016825205586921,
"FCER2",0,12,0.043919250220647,
"CLEC4C",0,8,0.025104719743349,
"TGM2",0,4,0.029881901346297,
"FOXP3",0,47,0.033440271220633,
"IL2RA",0,10,0.060618371835643,
"ELN",0,15,0.150264075874532,
"IDO2",0,5,0.014695787394405,
"IL22",0,2,0.025384906347628,
"NLRC5",0,4,0.027850548465278,
"TNFRSF13B",0,4,0.031955282217957,
"RET",0,9,0.032851879351648,
"KLRF1",0,4,0.02457236519522,
"VEGFC",0,19,0.067370868998753,
"IL4",0,3,0.033454280550847,
"IL17A",0,3,0.016727140275424,
